location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Gunnedah,North-west Slopes,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,no2,0.002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,o3,0.013999999999999999,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,no2,0.004,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,so2,0.085,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,so2,0.10400000000000001,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,pm10,7,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,pm25,3.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,pm10,4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,pm10,3.6,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,no2,0.01,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
