created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Wed Mar 27 22:38:59 +0000 2019,1111034911090065408,"RT @enjohnston: Wow: @HarbourAirLtd is flying its first all-electric flights THIS YEAR.

By comparison: @PortofSeattle ""recently set a goal…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,0,,,,,False,,139,601,Neutral,0.11666666666666665,0.5277777777777778,2019-03-27,22:38:59,2019-03-27T22:38:59+0000
Wed Mar 27 22:33:58 +0000 2019,1111033649703469056,Australia has 2 of the world’s busiest domestic flight routes (MEL-SYD-BNE); this is not a source of pride. It woul… https://t.co/hGW2KF28SQ,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,,,,,True,"Melbourne, Australia",214,174,Neutral,0.0,0.1,2019-03-27,22:33:58,2019-03-27T22:33:58+0000
Wed Mar 27 22:09:02 +0000 2019,1111027372239867905,"Relax everyone. There is great leadership towards the sustainable future of flight, and it is all thanks to 100 yea… https://t.co/i1g6PipMqA","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,5,,,,,True,"Gloucester, UK",2246,4996,Positive,0.3333333333333333,0.35833333333333334,2019-03-27,22:09:02,2019-03-27T22:09:02+0000
Wed Mar 27 21:49:58 +0000 2019,1111022575604371456,"RT @enjohnston: Wow: @HarbourAirLtd is flying its first all-electric flights THIS YEAR.

By comparison: @PortofSeattle ""recently set a goal…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,0,,,,,False,pacific rim,151,824,Neutral,0.11666666666666665,0.5277777777777778,2019-03-27,21:49:58,2019-03-27T21:49:58+0000
Wed Mar 27 21:24:56 +0000 2019,1111016277298958337,"RT @enjohnston: Wow: @HarbourAirLtd is flying its first all-electric flights THIS YEAR.

By comparison: @PortofSeattle ""recently set a goal…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",5,0,,,,,False,Seattle,261,152,Neutral,0.11666666666666665,0.5277777777777778,2019-03-27,21:24:56,2019-03-27T21:24:56+0000
Wed Mar 27 21:00:44 +0000 2019,1111010187383468032,"Wow: @HarbourAirLtd is flying its first all-electric flights THIS YEAR.

By comparison: @PortofSeattle ""recently se… https://t.co/24JPL1uTM6","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",5,17,,,,,True,Seattle,1929,642,Neutral,0.11666666666666665,0.5277777777777778,2019-03-27,21:00:44,2019-03-27T21:00:44+0000
Wed Mar 27 18:41:58 +0000 2019,1110975263993720832,"@JackPhan Has already been tried by a few companies (JetSmarter). They've all ended up losing money, cutting member… https://t.co/Aw0jHqfeIZ","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,1,,,,,True,"Detroit, MI",611,901,Negative,-0.4,0.5,2019-03-27,18:41:58,2019-03-27T18:41:58+0000
Wed Mar 27 16:02:33 +0000 2019,1110935147195580416,RT @JimBridenstine: Always a pleasure to visit with the @NASA family at the Marshall Space Flight Center in Alabama! The work being done at…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",49,0,,,,,False,"Maracaibo, Zulia, Venezuela",1036,2751,Neutral,-0.125,0.1,2019-03-27,16:02:33,2019-03-27T16:02:33+0000
Wed Mar 27 14:29:47 +0000 2019,1110911799602216961,RT @JimBridenstine: Always a pleasure to visit with the @NASA family at the Marshall Space Flight Center in Alabama! The work being done at…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",49,0,,,,,False,,48,265,Neutral,-0.125,0.1,2019-03-27,14:29:47,2019-03-27T14:29:47+0000
Wed Mar 27 11:20:17 +0000 2019,1110864110374346752,RT @JimBridenstine: Always a pleasure to visit with the @NASA family at the Marshall Space Flight Center in Alabama! The work being done at…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",49,0,,,,,False,,7,53,Neutral,-0.125,0.1,2019-03-27,11:20:17,2019-03-27T11:20:17+0000
Wed Mar 27 11:08:22 +0000 2019,1110861110264111105,RT @JimBridenstine: Always a pleasure to visit with the @NASA family at the Marshall Space Flight Center in Alabama! The work being done at…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",49,0,,,,,False,,54,22,Neutral,-0.125,0.1,2019-03-27,11:08:22,2019-03-27T11:08:22+0000
Wed Mar 27 10:43:11 +0000 2019,1110854772402413569,"RT @icao: Our #ICAO75 celebrations continue with a State that shows great leadership toward the sustainable future of #flight, building on…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4,0,,,,,False,"Quito, Ecuador",1744,4055,Positive,0.4,0.4375,2019-03-27,10:43:11,2019-03-27T10:43:11+0000
Wed Mar 27 09:40:19 +0000 2019,1110838955270946816,#Sustainable Jet Fuel On A New Flight Path https://t.co/kHIio0q0eK,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,0,,,,,False,,7051,3489,Neutral,0.13636363636363635,0.45454545454545453,2019-03-27,09:40:19,2019-03-27T09:40:19+0000
