created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Sat Mar 30 17:53:22 +0000 2019,1112050197935329280,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2140,0,,,,,False,,680,245,Neutral,0.1,0.55,2019-03-30,17:53:22,2019-03-30T17:53:22+0000
Sat Mar 30 15:27:46 +0000 2019,1112013553945530368,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,Nepantla,2008,3038,Neutral,0.1,0.55,2019-03-30,15:27:46,2019-03-30T15:27:46+0000
Fri Mar 29 18:58:08 +0000 2019,1111704106454929409,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,,258,630,Neutral,0.1,0.55,2019-03-29,18:58:08,2019-03-29T18:58:08+0000
Fri Mar 29 18:56:22 +0000 2019,1111703664996028419,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2140,0,,,,,False,"Paris, France",16437,15116,Neutral,0.1,0.55,2019-03-29,18:56:22,2019-03-29T18:56:22+0000
Fri Mar 29 17:57:08 +0000 2019,1111688758787747841,RT @NAMAPAD: @Odeh_JuniorOdeh @FAAN_Official @bakowhyte @LOSairport @HeathrowAirport @flyairpeace @British_Airways @united @FlightEmergency…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,,,,,False,Nigeria,1180,1129,Neutral,0.0,0.0,2019-03-29,17:57:08,2019-03-29T17:57:08+0000
Fri Mar 29 15:35:41 +0000 2019,1111653159620042753,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,"Philadelphia, PA",149,209,Neutral,0.1,0.55,2019-03-29,15:35:41,2019-03-29T15:35:41+0000
Fri Mar 29 15:34:48 +0000 2019,1111652937590288384,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,,74,284,Neutral,0.1,0.55,2019-03-29,15:34:48,2019-03-29T15:34:48+0000
Fri Mar 29 15:10:49 +0000 2019,1111646901709881345,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2140,0,,,,,False,Ocean,1039,632,Neutral,0.1,0.55,2019-03-29,15:10:49,2019-03-29T15:10:49+0000
Fri Mar 29 14:49:45 +0000 2019,1111641599061180416,@Odeh_JuniorOdeh @FAAN_Official @bakowhyte @LOSairport @HeathrowAirport @flyairpeace @British_Airways @united… https://t.co/HZ5YxSX5oV,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,1,,,,,True,"Lagos, Nigeria",27,17,Neutral,0.0,0.0,2019-03-29,14:49:45,2019-03-29T14:49:45+0000
Fri Mar 29 02:34:40 +0000 2019,1111456608649777152,@voxlin @Caterina @ShouldThisExist @qz You seem to have no idea what you are talking about. Everything exists alrea… https://t.co/5NQGizHvBT,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,,40,72,Neutral,0.0,0.0,2019-03-29,02:34:40,2019-03-29T02:34:40+0000
