created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Fri Apr 05 23:28:58 +0000 2019,1114308979746848768,"Muslim Albanian national Fabjan Alameti, 21, who authorities say talked about joining ISIS and attacking random peo… https://t.co/yuI8OLmimP","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,,,,,True,"United States of America, the greatest country in the world!",5178,5169,Negative,-0.5,0.5,2019-04-05,23:28:58,2019-04-05T23:28:58+0000
Fri Apr 05 23:28:12 +0000 2019,1114308787186302976,RT @cduhaime: I think New Zealand has an interesting approach to media and criminality in the sense of not giving air time or naming major…,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",4,0,,,,,False,Longing to be Pain Free,1196,4898,Positive,0.3181818181818182,0.4772727272727273,2019-04-05,23:28:12,2019-04-05T23:28:12+0000
Fri Apr 05 23:18:41 +0000 2019,1114306393224302593,New Zealand pulls Murdoch’s Sky News Australia off the air over mosque massacre coverage | ThinkProgress https://t.co/PfxobSz8lC,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",0,0,,,,,False,"Sydney, New South Wales",129,121,Neutral,0.13636363636363635,0.45454545454545453,2019-04-05,23:18:41,2019-04-05T23:18:41+0000
Fri Apr 05 23:12:49 +0000 2019,1114304917529710592,RT @cduhaime: I think New Zealand has an interesting approach to media and criminality in the sense of not giving air time or naming major…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4,0,,,,,False,,106,143,Positive,0.3181818181818182,0.4772727272727273,2019-04-05,23:12:49,2019-04-05T23:12:49+0000
Fri Apr 05 23:10:43 +0000 2019,1114304388946747394,Our most trusted company is also one of our biggest climate polluters. I explored how Air New Zealand is handling t… https://t.co/5zu7jLsujz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,18,,,,,True,"Christchurch, NZ",2856,1113,Positive,0.3181818181818182,0.4772727272727273,2019-04-05,23:10:43,2019-04-05T23:10:43+0000
Fri Apr 05 23:10:10 +0000 2019,1114304249217912832,"Air New Zealand is the latest airline to offer free, unlimited Wi-Fi on international flights ⋆ ALERTIFY… https://t.co/t022ylhW7q","<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>",0,0,,,,,True,RIJEKA,7969,4089,Neutral,0.2590909090909091,0.5386363636363636,2019-04-05,23:10:10,2019-04-05T23:10:10+0000
Fri Apr 05 23:00:07 +0000 2019,1114301719163355136,RT @BrentAllpress: @LouiseMensch @loretta_sea @911CORLEBRA777 @jbadomics @thespybrief @NZArmy @NZUN “Sky New Zealand pulls Sky News Austral…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,0,,,,,False,USA,411,3952,Neutral,0.13636363636363635,0.45454545454545453,2019-04-05,23:00:07,2019-04-05T23:00:07+0000
Fri Apr 05 22:38:09 +0000 2019,1114296190982443010,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",9,0,,,,,False,"Kapiti Coast, New Zealand",2392,1129,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-05,22:38:09,2019-04-05T22:38:09+0000
Fri Apr 05 22:35:42 +0000 2019,1114295577468997632,"RT @transparency_a1: The company is one of the country's largest climate polluters, responsible for emitting 3.5m tonnes of carbon dioxide…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,0,,,,,False,Nelson New Zealand,830,942,Neutral,0.2,0.55,2019-04-05,22:35:42,2019-04-05T22:35:42+0000
Fri Apr 05 22:34:37 +0000 2019,1114295303555805184,"Air New Zealand facing Slow growth with 35% profit loss for this year so far, delays in new aircraft deliveries &amp; r… https://t.co/eX4UtmIOI4","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,"Sydney, NSW, Australia.",6,14,Neutral,0.018181818181818167,0.5772727272727273,2019-04-05,22:34:37,2019-04-05T22:34:37+0000
Fri Apr 05 22:32:39 +0000 2019,1114294810112692224,"The company is one of the country's largest climate polluters, responsible for emitting 3.5m tonnes of carbon dioxi… https://t.co/ehhmQumKAc","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,0,,,,,True,NZ . East BOP,2459,2458,Neutral,0.2,0.55,2019-04-05,22:32:39,2019-04-05T22:32:39+0000
Fri Apr 05 22:30:06 +0000 2019,1114294164592578561,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9,0,,,,,False,NZ . East BOP,2459,2458,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-05,22:30:06,2019-04-05T22:30:06+0000
Fri Apr 05 21:58:12 +0000 2019,1114286140402675717,RT @SolmalagaViajes: Bora Bora Pearl Beach Resort&amp;Spa. 5n. Salidas del 01Abr-30Nov con Air New Zealand. Precio final desde 3.688€ https://t…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3,0,,,,,False,"Málaga, Andalucía",549,545,Neutral,0.06818181818181818,0.7272727272727273,2019-04-05,21:58:12,2019-04-05T21:58:12+0000
Fri Apr 05 21:55:37 +0000 2019,1114285488909713408,"Ready to go home now!  time travel keeps getting more difficult to comprehend.

My 2nd plane leaves 1 minute before… https://t.co/dfG6BvrqfB","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",0,0,"{'type': 'Point', 'coordinates': [-37.66753962, 144.84623406]}","{'type': 'Point', 'coordinates': [144.84623406, -37.66753962]}","{'id': '01864a8a64df9dc4', 'url': 'https://api.twitter.com/1.1/geo/id/01864a8a64df9dc4.json', 'place_type': 'city', 'name': 'Melbourne', 'full_name': 'Melbourne, Victoria', 'country_code': 'AU', 'country': 'Australia', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[144.593741856, -38.433859306], [145.512528832, -38.433859306], [145.512528832, -37.5112737225], [144.593741856, -37.5112737225]]]}, 'attributes': {}}",,True," Gainesville, FL 32653",249,590,Neutral,0.0625,0.5,2019-04-05,21:55:37,2019-04-05T21:55:37+0000
Fri Apr 05 21:36:33 +0000 2019,1114280690722299909,"New Zealand, Lion Air, Mozambique: Your Thursday Briefing https://t.co/oreFiE8ioF https://t.co/Gzje81wgBq","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,,,,,False,,288,195,Neutral,0.13636363636363635,0.45454545454545453,2019-04-05,21:36:33,2019-04-05T21:36:33+0000
Fri Apr 05 21:32:55 +0000 2019,1114279777022631936,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9,0,,,,,False,"Vancouver, British Columbia",629,666,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-05,21:32:55,2019-04-05T21:32:55+0000
Fri Apr 05 21:04:22 +0000 2019,1114272588761460736,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9,0,,,,,False,New Zealand,465,634,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-05,21:04:22,2019-04-05T21:04:22+0000
Fri Apr 05 20:55:25 +0000 2019,1114270337972219905,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,0,,,,,False,"Massey University, New Zealand",229,418,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-05,20:55:25,2019-04-05T20:55:25+0000
Fri Apr 05 20:53:27 +0000 2019,1114269842083864576,RT @JetPhotos: An Air New Zealand 787 departing Sydney. https://t.co/k23QZAtqB7 © Paul Kalbitz https://t.co/IJFhS0zspD,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",41,0,,,,,False,,800,491,Neutral,0.13636363636363635,0.45454545454545453,2019-04-05,20:53:27,2019-04-05T20:53:27+0000
Fri Apr 05 20:51:21 +0000 2019,1114269316352897024,I love that Air New Zealand collects its recyclable trash and brags about being a sustainable airline. But a single… https://t.co/Tg7Gv9kddd,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,5,,,,,True,,2821,400,Positive,0.3181818181818182,0.5272727272727272,2019-04-05,20:51:21,2019-04-05T20:51:21+0000
Fri Apr 05 20:49:55 +0000 2019,1114268955538067456,"'The world's least unsustainable airline': Air New Zealand's climate dilemma
 https://t.co/9nbYWNk6qW","<a href=""http://getbrandwhistle.com/"" rel=""nofollow"">Brand Whistle</a>",0,0,,,,,False,New Zealand,111,100,Neutral,-0.08181818181818182,0.42727272727272725,2019-04-05,20:49:55,2019-04-05T20:49:55+0000
Fri Apr 05 20:45:14 +0000 2019,1114267774551904256,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9,0,,,,,False,,507,903,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-05,20:45:14,2019-04-05T20:45:14+0000
